,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,first_doc,institution_id,ind_prod
688,056f8dd2-bf3b-4b0e-9efb-fd75a2f1e423,,2,,2,,,1,,,1,2,,1,2,Pós-Doutorado,3,7,4,17,2,,,2,,,2007,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,1.62
689,a4682692-7dc4-495d-9409-a5f5cccf67f0,2,,,,3,6,,,,,,1,,2,Pós-Doutorado,,3,1,9,,9,,,,,1995,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,8.375
690,b067c466-e80a-4a12-bd6a-0ec53f403060,1,,,2,,,2,3,7,2,1,5,1,10,Pós-Doutorado,,11,,8,2,1,,15,,,2015,08aa6e17-f9ae-4979-a399-5b32a506a15e,8.49
691,66806b79-4b46-4c15-ac1f-f268c91acc65,,,,,,,,,,,,,,,,,,,,,,,,,,None,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
692,f77e5a15-9478-40a1-a581-5d849c932bcf,,,,,,,3,,1,,,,,,Doutorado,2,15,,2,,,,11,,,2014,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,2.75
693,1d954f78-321b-4b4e-9e36-dd007633bc16,,,,1,,,,,,,,,,,Mestrado,,,,,,,,1,,,None,68125729-c357-4830-ba4d-ec3ca757c323,0.0
694,cf937755-a54a-440f-9b4a-d9e85924f16f,,,,2,,,,2,1,,,,,,Pós-Doutorado,,5,,1,,,,9,,,2012,498cadc8-b8f6-4008-902e-76281109187d,1.75
695,ae080058-0f4f-4762-a1d8-4bebbbc03017,,,,,,,,,,,,,,,Doutorado,,,,,,,,22,,4,2007,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
696,2223c963-8686-41c5-a612-a5b00d6ae10f,,,,8,,1,,,,1,,3,,,Doutorado,,2,,,,,,6,,,2018,68125729-c357-4830-ba4d-ec3ca757c323,1.62
697,370262e3-efaa-4521-9f8b-91e57cefc853,,,,,,,,,,,,,,,,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281101237d,0.0
