,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,ind_prod
183,3f5ee28e-653e-4733-ae39-5940d1fa7584,,,,1,,,,,1,1,3,1,,2,Doutorado,,,,,,,,6,,,1.745
184,889f878e-d61b-4e45-b8ba-0d993523a3d4,,,,,1,,1,,11,7,,1,8,1,Doutorado,5,41,2,15,6,6,,14,,,9.965
185,a167ccf6-c9d8-4364-b358-bb2b17e7c8cb,,,,,,,,,,,,,,,Especialização,,,,,,,,3,,,0.0
186,db4c5cb9-288b-44e3-b639-07fd9a608b25,,,,,,,,,,,,,,,Mestrado,,,,,,,,,,,0.0
187,d0248bfd-2c1a-4889-87c0-9e243993e3c8,,,,,,,,,,,,3,,1,Doutorado,,,,,,,,7,,,0.375
188,4000b9a9-abaf-4967-8e3d-e0aa6209491d,,,,,,,,,,1,,,,,Mestrado,,,,,,,,4,,6,0.37
189,a9c218a5-f732-4e22-ab22-79de956bf1b2,,,,,1,1,1,,1,1,,,6,1,Pós-Doutorado,1,12,2,10,5,6,,,,,3.495
190,a7821dae-aafc-4c82-8ff2-b323a1b13cdf,,,,,,,,,,,,,,,Doutorado,,,,,,,,3,,,0.0
191,059ad156-e393-437d-8a55-96d06138767f,,,,,,3,,1,1,,,,,,Doutorado,,,,,,,,14,,,3.75
192,600ceff7-308f-4d6b-a5de-deb14fe52e9a,,,,7,,,8,1,1,,2,,1,,Pós-Doutorado,2,18,2,10,8,,,6,,4,7.625
193,a10e04f2-433f-4f45-9129-f902732422fe,,19,,6,2,2,,1,1,2,,,,,Pós-Doutorado,,,2,7,4,5,,,,,5.615
